S.N.,E,Gam,phi,C,Neu,dil,ExDep,Bfill,Plthk,FAng,Inc,Sp,Len,FOS,Dis
67,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,10.0,15,0.7,1.2,2.273,-0.023
68,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,10.0,15,0.7,1.0,2.122,-0.026
69,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,10.0,15,0.7,0.8,1.953,-0.029
70,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,10.0,15,0.9,1.2,2.118,-0.026
71,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,10.0,15,0.9,1.0,1.955,-0.028
72,8000,19.5,26.0,25.0,0.3,0.0,6.0,0,200,10.0,15,0.9,0.8,1.806,-0.031
73,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,5.0,15,0.5,1.2,1.907,-0.049
74,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,5.0,15,0.5,1.0,1.767,-0.053
75,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,5.0,15,0.5,0.8,1.61,-0.058
76,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,5.0,15,0.7,1.2,1.802,-0.054
77,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,5.0,15,0.7,1.0,1.669,-0.058
78,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,5.0,15,0.7,0.8,1.512,-0.066
79,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,5.0,15,0.9,1.2,1.634,-0.061
80,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,5.0,15,0.9,1.0,1.503,-0.067
81,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,5.0,15,0.9,0.8,1.25,-0.087
82,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,10.0,15,0.5,1.2,1.968,-0.04
83,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,10.0,15,0.5,1.0,1.832,-0.042
84,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,10.0,15,0.5,0.8,1.686,-0.045
85,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,10.0,15,0.7,1.2,1.869,-0.043
86,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,10.0,15,0.7,1.0,1.735,-0.046
87,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,10.0,15,0.7,0.8,1.582,-0.05
88,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,10.0,15,0.9,1.2,1.732,-0.047
89,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,10.0,15,0.9,1.0,1.564,-0.051
90,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,100,10.0,15,0.9,0.8,1.425,-0.054
91,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,5.0,15,0.5,1.2,1.909,-0.048
92,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,5.0,15,0.5,1.0,1.772,-0.051
93,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,5.0,15,0.5,0.8,1.538,-0.056
94,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,5.0,15,0.7,1.2,1.794,-0.052
95,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,5.0,15,0.7,1.0,1.665,-0.056
96,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,5.0,15,0.7,0.8,1.53,-0.062
97,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,5.0,15,0.9,1.2,1.669,-0.057
98,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,5.0,15,0.9,1.0,1.521,-0.063
99,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,5.0,15,0.9,0.8,1.32,-0.077
100,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,10.0,15,0.5,1.2,1.965,-0.039
101,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,10.0,15,0.5,1.0,1.829,-0.041
102,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,10.0,15,0.5,0.8,1.685,-0.044
103,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,10.0,15,0.7,1.2,1.869,-0.041
104,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,10.0,15,0.7,1.0,1.732,-0.045
105,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,10.0,15,0.7,0.8,1.577,-0.048
106,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,10.0,15,0.9,1.2,1.729,-0.045
107,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,10.0,15,0.9,1.0,1.572,-0.048
108,8000,19.5,26.0,15.0,0.35,0.0,6.0,0,200,10.0,15,0.9,0.8,1.441,-0.051
109,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,5.0,15,0.5,1.2,1.922,-0.036
110,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,5.0,15,0.5,1.0,1.792,-0.04
111,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,5.0,15,0.5,0.8,1.623,-0.045
112,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,5.0,15,0.7,1.2,1.797,-0.041
113,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,5.0,15,0.7,1.0,1.658,-0.045
114,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,5.0,15,0.7,0.8,1.47,-0.053
115,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,5.0,15,0.9,1.2,1.653,-0.047
116,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,5.0,15,0.9,1.0,1.491,-0.054
117,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,5.0,15,0.9,0.8,1.289,-0.076
118,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,10.0,15,0.5,1.2,1.989,-0.026
119,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,10.0,15,0.5,1.0,1.846,-0.028
120,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,10.0,15,0.5,0.8,1.694,-0.031
121,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,10.0,15,0.7,1.2,1.874,-0.03
122,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,10.0,15,0.7,1.0,1.74,-0.033
123,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,10.0,15,0.7,0.8,1.577,-0.037
124,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,10.0,15,0.9,1.2,1.724,-0.034
125,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,10.0,15,0.9,1.0,1.542,-0.037
126,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,100,10.0,15,0.9,0.8,1.415,-0.041
127,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,5.0,15,0.5,1.2,1.908,-0.035
128,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,5.0,15,0.5,1.0,1.79,-0.038
129,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,5.0,15,0.5,0.8,1.622,-0.043
130,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,5.0,15,0.7,1.2,1.799,-0.039
131,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,5.0,15,0.7,1.0,1.668,-0.043
132,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,5.0,15,0.7,0.8,1.516,-0.05
133,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,5.0,15,0.9,1.2,1.665,-0.044
134,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,5.0,15,0.9,1.0,1.503,-0.05
135,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,5.0,15,0.9,0.8,1.324,-0.06
136,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,10.0,15,0.5,1.2,1.97,-0.025
137,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,10.0,15,0.5,1.0,1.837,-0.027
138,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,10.0,15,0.5,0.8,1.701,-0.03
139,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,10.0,15,0.7,1.2,1.877,-0.028
140,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,10.0,15,0.7,1.0,1.739,-0.031
141,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,10.0,15,0.7,0.8,1.576,-0.035
142,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,10.0,15,0.9,1.2,1.724,-0.032
143,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,10.0,15,0.9,1.0,1.559,-0.035
144,8000,19.5,26.0,15.0,0.3,0.0,6.0,0,200,10.0,15,0.9,0.8,1.432,-0.038
145,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,5.0,15,0.5,1.2,1.451,-0.063
146,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,5.0,15,0.5,1.0,1.304,-0.076
147,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,5.0,15,0.5,0.8,1.13,-0.103
148,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,5.0,15,0.7,1.2,1.287,-0.075
149,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,5.0,15,0.7,1.0,1.147,-0.098
150,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,5.0,15,0.7,0.8,0.0,-0.059
151,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,5.0,15,0.9,1.2,1.077,-0.119
152,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,5.0,15,0.9,1.0,0.0,-0.062
153,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,5.0,15,0.9,0.8,0.0,-0.092
154,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,10.0,15,0.5,1.2,1.493,-0.048
155,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,10.0,15,0.5,1.0,1.387,-0.053
156,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,10.0,15,0.5,0.8,1.197,-0.064
157,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,10.0,15,0.7,1.2,1.424,-0.053
158,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,10.0,15,0.7,1.0,1.209,-0.063
159,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,10.0,15,0.7,0.8,1.044,-0.088
160,8000,19.5,26.0,5.0,0.35,0.0,6.0,0,100,10.0,15,0.9,1.2,1.159,-0.072
