S.N.	E	Gam	phi	C	Neu	dil	ExDep	Bfill	Plthk	FAng	Inc	Sp	Len	FOS	Dis	

2198	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	5.0	15	0.5	1.0	2.359	-0.031
2199	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	5.0	15	0.5	0.8	2.192	-0.035
2200	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	5.0	15	0.7	1.2	2.412	-0.032
2201	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	5.0	15	0.7	1.0	2.218	-0.034
2202	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	5.0	15	0.7	0.8	2.04	-0.04
2203	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	5.0	15	0.9	1.2	2.24	-0.035
2204	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	5.0	15	0.9	1.0	2.063	-0.038
2205	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	5.0	15	0.9	0.8	1.844	-0.044
2206	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	10.0	15	0.5	1.2	2.623	-0.019
2207	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	10.0	15	0.5	1.0	2.437	-0.02
2208	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	10.0	15	0.5	0.8	2.277	-0.022
2209	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	10.0	15	0.7	1.2	2.499	-0.021
2210	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	10.0	15	0.7	1.0	2.334	-0.024
2211	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	10.0	15	0.7	0.8	2.127	-0.026
2212	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	10.0	15	0.9	1.2	2.34	-0.023
2213	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	10.0	15	0.9	1.0	2.175	-0.025
2214	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	100	10.0	15	0.9	0.8	1.966	-0.027
2215	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	5.0	15	0.5	1.2	2.538	-0.029
2216	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	5.0	15	0.5	1.0	2.357	-0.032
2217	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	5.0	15	0.5	0.8	2.21	-0.036
2218	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	5.0	15	0.7	1.2	2.407	-0.033
2219	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	5.0	15	0.7	1.0	2.22	-0.035
2220	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	5.0	15	0.7	0.8	2.045	-0.041
2221	6500	19.5	30.0	25.0	0.3	0.0	6.0	0	200	5.0	15	0.9	1.2	2.232	-0.036
