column_name,angle,,C,E,FAng,Gam,Len,Neu,Plthk,Sp,phi
C,0.68,,0.68,0,0,0,0,0,0,0,0
E,-0.03,,0,-0.03,0,0,0,0,0,0,0
FAng,0.05,,0,0,0.05,0,0,0,0,0,0
Gam,-0.44,,0,0,0,-0.44,0,0,0,0,0
Len,0.59,,0,0,0,0,0.59,0,0,0,0
Neu,0.01,,0,0,0,0,0,0.01,0,0,0
Plthk,0.04,,0,0,0,0,0,0,0.04,0,0
Sp,-0.34,,0,0,0,0,0,0,0,-0.34,0
phi,0.76,,0,0,0,0,0,0,0,0,0.76
C,1.35,,1.35,0,0,0,0,0,0,0,0
E,0.03,,0,0.03,0,0,0,0,0,0,0
FAng,0.04,,0,0,0.04,0,0,0,0,0,0
Gam,-0.47,,0,0,0,-0.47,0,0,0,0,0
Len,0.49,,0,0,0,0,0.49,0,0,0,0
Neu,0.09,,0,0,0,0,0,0.09,0,0,0
Plthk,0.03,,0,0,0,0,0,0,0.03,0,0
Sp,-0.32,,0,0,0,0,0,0,0,-0.32,0
phi,0.65,,0,0,0,0,0,0,0,0,0.65
C,1.21,,1.21,0,0,0,0,0,0,0,0
E,-0.09,,0,-0.09,0,0,0,0,0,0,0
FAng,0.07,,0,0,0.07,0,0,0,0,0,0
Gam,-0.39,,0,0,0,-0.39,0,0,0,0,0
Len,0.39,,0,0,0,0,0.39,0,0,0,0
Neu,-0.03,,0,0,0,0,0,-0.03,0,0,0
Plthk,0,,0,0,0,0,0,0,0,0,0
Sp,-0.41,,0,0,0,0,0,0,0,-0.41,0
phi,0.57,,0,0,0,0,0,0,0,0,0.57
C,0.63,,0.63,0,0,0,0,0,0,0,0
E,-0.04,,0,-0.04,0,0,0,0,0,0,0
FAng,0.08,,0,0,0.08,0,0,0,0,0,0
Gam,-0.49,,0,0,0,-0.49,0,0,0,0,0
Len,0.53,,0,0,0,0,0.53,0,0,0,0
Neu,0,,0,0,0,0,0,0,0,0,0
Plthk,-0.01,,0,0,0,0,0,0,-0.01,0,0
Sp,-0.18,,0,0,0,0,0,0,0,-0.18,0
phi,0.88,,0,0,0,0,0,0,0,0,0.88
C,0.62,,0.62,0,0,0,0,0,0,0,0
E,0.05,,0,0.05,0,0,0,0,0,0,0
FAng,0.12,,0,0,0.12,0,0,0,0,0,0
Gam,-0.53,,0,0,0,-0.53,0,0,0,0,0
Len,0.44,,0,0,0,0,0.44,0,0,0,0
Neu,0.13,,0,0,0,0,0,0.13,0,0,0
Plthk,0.03,,0,0,0,0,0,0,0.03,0,0
Sp,-0.2,,0,0,0,0,0,0,0,-0.2,0
phi,0.82,,0,0,0,0,0,0,0,0,0.82
C,0.62,,0.62,0,0,0,0,0,0,0,0
E,-0.04,,0,-0.04,0,0,0,0,0,0,0
FAng,0.07,,0,0,0.07,0,0,0,0,0,0
Gam,-0.44,,0,0,0,-0.44,0,0,0,0,0
Len,0.35,,0,0,0,0,0.35,0,0,0,0
Neu,-0.03,,0,0,0,0,0,-0.03,0,0,0
Plthk,-0.01,,0,0,0,0,0,0,-0.01,0,0
Sp,-0.18,,0,0,0,0,0,0,0,-0.18,0
